app_id,app_name,developer,category_name,launch_date,has_free_plan,monthly_price_usd
1,ProShip Max,Astra Labs,orders and shipping,2018-10-13,No,49.99
2,EasyCart Tool,Peak Apps,REVIEWS AND RATINGS,2019-02-12,No,49.99
3,FreshSearch Pro,Helix Studios,Productivity,2020-05-15,Yes,
4,BrilliantSearch Pro,Beacon Digital,REVIEWS AND RATINGS,2018-09-13,No,19.99
5,BrilliantBuild Flow,Zenith Software,Marketing,2021-09-16,Yes,
6,BoostBox Lite,Atlas Studios,Customer Support,2019-12-29,Yes,
7,MasterStack Max,Fortis Studios,search and navigation,2020-02-17,Yes,
8,QuickEdit X,Astra Software,orders and shipping,2023-02-14,No,49.99
9,TopBox App,Astra Studios,orders and shipping,2022-03-06,No,14.99
10,UltimatePulse AI,PixelPerfect Apps,email marketing,2018-08-13,Yes,
11,BrilliantReview X,Cascade Digital,REVIEWS AND RATINGS,2019-05-30,No,99.99
12,MasterBox Pro,Beacon Tech,REVIEWS AND RATINGS,2022-04-10,Yes,
13,BrilliantCart App,Atlas Studios,REVIEWS AND RATINGS,2023-05-07,No,29.99
14,AceSync Tool,BlueRiver Labs,Loyalty and Rewards,2023-04-24,Yes,
15,RapidSales App,Ironwood Digital,REVIEWS AND RATINGS,2018-12-05,Yes,
16,PowerSync X,Ironwood Solutions,search and navigation,2023-01-17,No,4.99
17,SmartMind 360,Fortis Labs,Marketing,2018-05-26,No,4.99
18,FreshMind AI,Fortis Digital,SEO,2020-04-13,Yes,
19,MegaHub AI,Beacon Apps,Subscriptions,2021-08-31,No,4.99
20,UltimateHub App,Astra Digital,orders and shipping,2022-11-26,No,19.99
21,RapidShip Plus,Helix Labs,STORE DESIGN,2020-04-12,No,9.99
22,RapidForge App,Zenith Tech,orders and shipping,2023-06-07,Yes,
23,SuperEmail Pro,GoldStandard Digital,REVIEWS AND RATINGS,2023-02-26,No,9.99
24,EasyTrack X,Nimbus Labs,Loyalty and Rewards,2021-05-02,Yes,
25,BoostCart Lite,Compass Solutions,orders and shipping,2019-06-28,Yes,
26,EasyShip AI,Linear Software,Sales and Conversion,2021-01-06,Yes,
27,RapidSync Flow,Kestrel Group,Marketing,2021-09-29,No,14.99
28,UltimateSearch Studio,Linear Labs,Productivity,2019-12-04,Yes,
29,BoldSearch Pro,PixelPerfect Systems,email marketing,2019-07-21,Yes,
30,PrimeStack Max,Evergreen Group,Marketing,2018-08-18,Yes,
31,FreshStack App,Evergreen Studios,Marketing,2019-09-24,Yes,
32,AceStack X,Linear Studios,orders and shipping,2022-11-06,Yes,
33,MegaShip App,Beacon Solutions,SEO,2023-03-22,No,49.99
34,BoldTrack Tool,,Inventory Management,2022-08-08,No,9.99
35,TopEdit Studio,,Customer Support,2021-08-06,No,49.99
36,SuperHub Flow,Peak Software,Reporting and Analytics,2023-01-17,No,14.99
37,SleekStack Lite,Beacon Labs,Customer Support,2020-06-02,Yes,
38,MagicPulse Studio,Ironwood Systems,Customer Support,2020-04-04,No,29.99
39,TopOrder Flow,GoldStandard Tech,Reporting and Analytics,2021-01-27,No,14.99
40,PrimeBox AI,Ironwood Labs,REVIEWS AND RATINGS,2020-08-27,No,99.99
41,MagicPulse Lite,Kestrel Solutions,Sales and Conversion,2022-08-04,No,9.99
42,GeniusForge Flow,Helix Software,search and navigation,2020-04-28,No,29.99
43,BoldConnect Tool,Vanguard Apps,SEO,2022-10-29,No,4.99
44,PrimeEmail 360,Fortis Software,search and navigation,2018-10-01,No,49.99
45,SuperBox Flow,Beacon Group,Reporting and Analytics,2022-08-29,No,19.99
46,SleekForge Lite,Fortis Tech,search and navigation,2018-06-08,No,9.99
47,RapidReview App,Vanguard Labs,Reporting and Analytics,2021-11-22,Yes,
48,QuickCart X,Cascade Apps,email marketing,2022-12-09,No,19.99
49,MagicConnect X,Northern Star Group,SEO,2021-05-20,No,19.99
50,TopOrder AI,Vanguard Group,Marketing,2023-02-01,Yes,
51,MegaSales AI,Echo Apps,Inventory Management,2020-02-16,Yes,
52,MegaSearch Plus,BrightWave Apps,Productivity,2021-01-09,Yes,
53,EasyEmail Pro,Fortis Labs,email marketing,2018-02-11,No,9.99
54,BoostBuild App,Linear Software,SEO,2022-08-05,Yes,
55,MagicMind Lite,Cascade Systems,Productivity,2019-02-11,Yes,
56,BrilliantInventory Flow,BlueRiver Solutions,REVIEWS AND RATINGS,2020-05-27,No,4.99
57,MegaForge Plus,,Subscriptions,2022-12-31,No,49.99
58,BrilliantStack AI,Sundial Systems,email marketing,2022-02-06,No,14.99
59,BrilliantConnect Master,Acme Digital,email marketing,2019-10-28,Yes,
60,BoostStack Pro,Peak Labs,Sales and Conversion,2019-05-10,No,19.99
61,BoldForge AI,Acme Software,Inventory Management,2019-03-30,No,9.99
62,MegaStack Master,Atlas Digital,Inventory Management,2019-09-20,Yes,
63,ProStack Max,Echo Labs,orders and shipping,2022-02-21,No,49.99
64,PowerSync Tool,Atlas Studios,Inventory Management,2018-01-29,No,9.99
65,UltimateForge Plus,Acme Tech,search and navigation,2020-09-07,No,9.99
66,EasyConnect AI,PixelPerfect Apps,STORE DESIGN,2018-11-02,No,14.99
67,RapidHub Flow,Linear Labs,SEO,2020-12-06,Yes,
68,FreshPilot Pro,Linear Software,SEO,2019-03-02,No,14.99
69,MasterStack Plus,Echo Apps,Reporting and Analytics,2020-07-11,No,19.99
70,PrimeReview Lite,Fortis Tech,SEO,2022-06-09,No,49.99
71,ProStack Tool,Kestrel Studios,Inventory Management,2022-08-20,Yes,
72,PrimeSync Max,Cascade Tech,REVIEWS AND RATINGS,2021-01-10,No,4.99
73,SuperPilot Studio,Acme Software,orders and shipping,2023-05-24,No,99.99
74,BoostMind Pro,,search and navigation,2020-11-28,No,14.99
75,BoldReview AI,Atlas Systems,Customer Support,2019-10-20,No,99.99
76,TopStack Pro,Sundial Software,Customer Support,2019-06-01,Yes,
77,SleekShip Lite,Northern Star Digital,Reporting and Analytics,2018-04-22,Yes,
78,PowerSearch 360,Vanguard Tech,search and navigation,2022-12-09,No,4.99
79,MagicStack Pro,Northern Star Systems,Sales and Conversion,2019-04-06,No,4.99
80,MagicPulse Max,Astra Systems,email marketing,2020-09-15,No,9.99
81,PowerPilot 360,Beacon Studios,email marketing,2018-05-23,Yes,
82,SmartSync Max,Vertex Digital,email marketing,2018-11-01,No,19.99
83,RapidConnect AI,Quantum Labs,Productivity,2019-05-05,No,9.99
84,TopConnect Lite,Kestrel Studios,search and navigation,2023-05-30,Yes,
85,ProBox Plus,Peak Digital,Marketing,2022-01-19,Yes,
86,SuperStack X,Quantum Digital,email marketing,2021-01-13,Yes,
87,ProInventory AI,,Marketing,2018-04-05,Yes,
88,MegaMind Lite,Echo Studios,STORE DESIGN,2018-06-11,No,19.99
89,FreshSales Tool,Sundial Tech,search and navigation,2019-06-07,No,99.99
90,AceMind Studio,Kestrel Systems,Productivity,2019-05-28,No,14.99
