review_id,app_id,rating,posted_at,has_developer_reply,helpful_count
1,484,4,10/09/2020,No,0
2,402,3,03/06/2024,No,0
3,72,4,2023-08-01,Yes,1
4,361,4,2023-11-15,No,3
5,412,5,2024-05-07,No,2
6,361,5,2023-07-05,No,3
7,143,5,2024-07-05,No,2
8,297,5,2023-03-14,Yes,0
9,99,4,2023-02-28,Yes,0
10,382,3,2020-12-16,No,1
11,481,5,11/09/2024,No,1
12,14,4,2023-12-07,Yes,0
13,445,3,2024-11-20,Yes,1
14,331,5,2024-04-27,Yes,2
15,457,4,12/18/2021,No,1
16,263,3,2022-12-21,No,0
17,391,4,2024-04-16,No,0
18,151,5,2023-04-08,Yes,1
19,98,5,2024-04-13,No,0
20,234,4,2024-08-20,No,0
21,63,4,2024-12-27,Yes,0
22,422,3,2021-11-07,No,4
23,440,5,2024-05-13,Yes,5
24,99,5,2022-12-14,No,2
25,329,5,2023-07-16,No,1
26,268,5,2023-03-16,No,1
27,153,5,2020-05-20,Yes,1
28,190,4,2024-07-04,No,3
29,213,5,2022-08-20,No,1
30,401,5,2024-05-01,Yes,0
31,381,3,10/18/2020,No,0
32,95,5,2024-09-23,No,4
33,236,5,2023-05-19,No,0
34,276,4,2023-07-19,No,2
35,272,5,2023-05-01,No,0
36,78,4,2024-05-14,Yes,0
37,200,5,2024-02-07,No,0
38,370,5,12/20/2023,No,0
39,157,5,2023-09-05,No,2
40,289,5,2024-10-06,No,2
41,105,5,2024-07-08,No,6
42,215,4,2022-09-10,No,1
43,434,4,2023-10-31,No,2
44,253,5,2024-11-10,No,0
45,14,3,08/23/2024,No,1
46,99,5,11/01/2022,Yes,3
47,172,4,2024-09-06,Yes,0
48,402,4,2024-07-15,No,2
49,197,5,2021-09-12,No,6
50,131,4,2024-10-20,No,1
51,276,4,04/06/2024,No,0
52,257,5,2023-08-18,Yes,3
53,329,5,2024-06-21,No,7
54,9,3,01/29/2024,No,1
55,168,5,04/22/2021,No,2
56,395,4,2023-10-01,No,2
57,323,4,2022-03-24,No,3
58,297,5,2022-08-06,No,4
59,451,3,2022-07-21,Yes,3
60,94,4,2023-11-29,Yes,4
61,406,5,09/22/2023,No,2
62,276,3,2024-07-31,Yes,0
63,22,3,2024-07-06,No,4
64,334,5,2024-05-14,No,1
65,143,5,2024-04-29,No,1
66,409,4,2023-11-19,No,0
67,401,4,2023-09-11,No,0
68,384,5,2023-08-09,No,0
69,259,4,05/26/2024,No,0
70,443,3,2021-07-12,No,0
71,179,4,2024-07-20,Yes,0
72,144,2,2023-12-15,Yes,7
73,328,4,2024-09-30,No,0
74,498,3,2023-03-20,No,0
75,67,3,2024-02-13,Yes,1
76,14,4,2023-10-04,No,1
77,1,5,2021-03-15,No,7
78,231,5,2023-06-20,No,0
79,338,5,2023-11-26,No,1
80,25,3,12/27/2024,No,0
81,157,5,2023-08-18,Yes,29
82,327,4,2022-09-23,No,1
83,207,4,2022-09-02,No,0
84,399,5,2024-02-24,No,1
85,359,5,08/09/2024,No,2
86,108,5,2023-02-18,No,1
87,450,3,2024-06-30,Yes,17
88,402,4,2020-08-20,No,3
89,287,4,05/01/2022,No,14
90,190,4,2022-12-31,No,1
91,483,3,2022-04-28,Yes,0
92,83,4,2022-10-13,Yes,0
93,73,5,2024-05-18,Yes,3
94,140,4,2023-11-05,No,1
95,73,5,03/06/2024,Yes,3
96,356,4,2023-08-16,Yes,3
97,197,4,2024-12-15,No,7
98,494,4,07/28/2023,No,2
99,24,4,2024-09-12,No,1
100,461,4,2021-12-29,No,0
101,297,5,2021-07-30,Yes,1
102,13,3,2024-07-13,Yes,0
103,276,3,2024-09-25,Yes,0
104,109,4,2023-03-06,Yes,1
105,206,4,2022-07-04,No,1
106,172,5,2022-09-10,No,1
107,219,3,2023-10-08,No,2
108,108,5,02/01/2024,No,3
109,226,5,2023-05-25,No,0
110,107,3,2024-10-07,No,1
111,495,5,2022-08-26,No,9
112,63,2,2024-02-25,Yes,6
113,191,5,2022-09-13,No,0
114,276,5,2023-10-22,No,1
115,346,3,03/16/2024,No,0
116,262,5,2023-09-21,No,3
117,276,4,12/04/2023,No,7
118,451,5,2022-07-10,Yes,1
119,14,4,2024-09-23,No,2
120,157,5,2024-03-18,No,8
121,426,4,2024-03-05,No,6
122,197,4,2020-03-06,No,1
